# Sample: PBN DMSO water light blank
# Condition: blank light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.015589645
3450.072262    -0.008726974
3450.144525    0.017699058
3450.216787    0.003269861
3450.289049    -0.029782894
3450.361312    -0.006263231
3450.433574    -0.015140925
3450.505837    -0.004038685
3450.578099    -0.029277896
3450.650361    -0.002686340
3450.722624    -0.002771239
3450.794886    0.016495528
3450.867148    -0.001589560
3450.939411    0.001203821
3451.011673    -0.027582631
3451.083936    0.026253521
3451.156198    -0.033640645
3451.228460    0.009728149
3451.300723    -0.010839060
3451.372985    -0.018746493
3451.445247    -0.015515391
3451.517510    -0.015734490
3451.589772    -0.000606984
3451.662034    -0.007645085
3451.734297    0.015248547
3451.806559    -0.032341711
3451.878822    -0.006086945
3451.951084    -0.018854903
3452.023346    0.005120787
3452.095609    -0.036459157
3452.167871    -0.010953912
3452.240133    -0.002987687
3452.312396    -0.027330503
3452.384658    0.008163856
3452.456921    -0.003418938
3452.529183    0.008488737
3452.601445    0.007810619
3452.673708    -0.020047161
3452.745970    -0.017423962
3452.818232    -0.008874357
3452.890495    0.004803015
3452.962757    0.006290218
3453.035019    -0.016129994
3453.107282    -0.014650261
3453.179544    -0.017382679
3453.251807    -0.014306440
3453.324069    -0.009322820
3453.396331    -0.007791057
3453.468594    0.023685999
3453.540856    -0.013160142
3453.613118    -0.010025062
3453.685381    0.000720897
3453.757643    -0.019558122
3453.829906    -0.011152453
3453.902168    -0.005656804
3453.974430    0.005283521
3454.046693    -0.024745927
3454.118955    0.013881180
3454.191217    -0.010885348
3454.263480    -0.003378877
3454.335742    0.006366471
3454.408004    0.003696285
3454.480267    0.009428952
3454.552529    -0.003296741
3454.624792    -0.006060561
3454.697054    -0.001223845
3454.769316    -0.020073615
3454.841579    0.011690468
3454.913841    -0.016893502
3454.986103    -0.023854138
3455.058366    0.023814356
3455.130628    -0.007690824
3455.202890    -0.022667576
3455.275153    0.020901654
3455.347415    -0.010447301
3455.419678    0.009560173
3455.491940    -0.017615368
3455.564202    -0.009263414
3455.636465    -0.029946200
3455.708727    -0.033106623
3455.780989    -0.019699227
3455.853252    -0.006781993
3455.925514    0.005813765
3455.997777    0.029219063
3456.070039    -0.020467942
3456.142301    0.008867558
3456.214564    -0.014310383
3456.286826    -0.007810726
3456.359088    -0.026897148
3456.431351    -0.026858494
3456.503613    -0.016784731
3456.575875    -0.022736452
3456.648138    -0.005635128
3456.720400    -0.015672491
3456.792663    0.012402848
3456.864925    -0.003364232
3456.937187    -0.003181692
3457.009450    0.010796100
3457.081712    0.001903153
3457.153974    -0.006071847
3457.226237    -0.006832130
3457.298499    -0.007259521
3457.370762    0.009958412
3457.443024    0.005745706
3457.515286    -0.000242192
3457.587549    0.005985865
3457.659811    -0.013311802
3457.732073    0.001863894
3457.804336    -0.025768501
3457.876598    0.013895007
3457.948860    -0.004164790
3458.021123    -0.002816431
3458.093385    0.003168473
3458.165648    -0.005577467
3458.237910    -0.009082602
3458.310172    0.011673636
3458.382435    -0.003753674
3458.454697    -0.018571513
3458.526959    0.000913496
3458.599222    -0.029899390
3458.671484    0.018401560
3458.743747    -0.007841462
3458.816009    -0.004715913
3458.888271    0.027076692
3458.960534    0.025559973
3459.032796    -0.003690204
3459.105058    0.003632138
3459.177321    0.010325833
3459.249583    0.018837777
3459.321845    -0.007210385
3459.394108    -0.003375825
3459.466370    0.012285854
3459.538633    -0.001432094
3459.610895    0.005543780
3459.683157    0.003472211
3459.755420    -0.021593843
3459.827682    -0.017621070
3459.899944    -0.043227828
3459.972207    -0.009001861
3460.044469    0.013982737
3460.116732    -0.021189608
3460.188994    0.012487299
3460.261256    0.009127902
3460.333519    -0.006017084
3460.405781    -0.005331393
3460.478043    -0.004024697
3460.550306    -0.017582211
3460.622568    -0.009258291
