# Sample: generic transition-metal screening mixture
# Condition: frozen solution or solid-state cw-EPR screening
# Solvent: frozen glass / solid matrix
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: SimEPR demo
Field_G    Intensity
3450.000000    -1.000000000
3450.072262    -0.994902327
3450.144525    -0.913189800
3450.216787    -0.904622343
3450.289049    -0.887602422
3450.361312    -0.872787563
3450.433574    -0.889968459
3450.505837    -0.856261428
3450.578099    -0.858778690
3450.650361    -0.791807058
3450.722624    -0.831471146
3450.794886    -0.834913998
3450.867148    -0.829274623
3450.939411    -0.830626708
3451.011673    -0.832259396
3451.083936    -0.818820385
3451.156198    -0.802553143
3451.228460    -0.809663215
3451.300723    -0.789019830
3451.372985    -0.802785762
3451.445247    -0.796553761
3451.517510    -0.771533907
3451.589772    -0.783330717
3451.662034    -0.795930418
3451.734297    -0.788613692
3451.806559    -0.775521342
3451.878822    -0.752711715
3451.951084    -0.782358226
3452.023346    -0.779568156
3452.095609    -0.759056864
3452.167871    -0.784222815
3452.240133    -0.773260252
3452.312396    -0.753889049
3452.384658    -0.756042272
3452.456921    -0.760937730
3452.529183    -0.750313896
3452.601445    -0.799071563
3452.673708    -0.740863291
3452.745970    -0.767566395
3452.818232    -0.775766417
3452.890495    -0.745339085
3452.962757    -0.737073141
3453.035019    -0.751673246
3453.107282    -0.758808324
3453.179544    -0.740706991
3453.251807    -0.739820503
3453.324069    -0.716564370
3453.396331    -0.724138133
3453.468594    -0.730200974
3453.540856    -0.714851326
3453.613118    -0.732055157
3453.685381    -0.740580898
3453.757643    -0.716643199
3453.829906    -0.714723943
3453.902168    -0.724403116
3453.974430    -0.730752760
3454.046693    -0.714108170
3454.118955    -0.751856759
3454.191217    -0.703606371
3454.263480    -0.704620221
3454.335742    -0.733766651
3454.408004    -0.707150194
3454.480267    -0.720229837
3454.552529    -0.693324867
3454.624792    -0.732135779
3454.697054    -0.714009442
3454.769316    -0.688547903
3454.841579    -0.680236552
3454.913841    -0.726698859
3454.986103    -0.700741357
3455.058366    -0.686934504
3455.130628    -0.698810463
3455.202890    -0.665017781
3455.275153    -0.703769162
3455.347415    -0.679517160
3455.419678    -0.698207474
3455.491940    -0.660742263
3455.564202    -0.679808187
3455.636465    -0.683200439
3455.708727    -0.701093078
3455.780989    -0.649890992
3455.853252    -0.661729307
3455.925514    -0.660036681
3455.997777    -0.652767364
3456.070039    -0.662584527
3456.142301    -0.675318647
3456.214564    -0.676011850
3456.286826    -0.674367706
3456.359088    -0.641131566
3456.431351    -0.680714996
3456.503613    -0.666512916
3456.575875    -0.660892349
3456.648138    -0.651336816
3456.720400    -0.644629480
3456.792663    -0.669600412
3456.864925    -0.675015955
3456.937187    -0.648310672
3457.009450    -0.629003284
3457.081712    -0.634083655
3457.153974    -0.640406854
3457.226237    -0.646611396
3457.298499    -0.636177124
3457.370762    -0.642449421
3457.443024    -0.625473633
3457.515286    -0.647412288
3457.587549    -0.632368979
3457.659811    -0.634421490
3457.732073    -0.623388103
3457.804336    -0.626526025
3457.876598    -0.591170753
3457.948860    -0.604988533
3458.021123    -0.603531740
3458.093385    -0.653541840
3458.165648    -0.627328140
3458.237910    -0.629767460
3458.310172    -0.611687888
3458.382435    -0.651172251
3458.454697    -0.599437707
3458.526959    -0.599558762
3458.599222    -0.632614168
3458.671484    -0.626470231
3458.743747    -0.622459687
3458.816009    -0.608741472
3458.888271    -0.598622010
3458.960534    -0.576725051
3459.032796    -0.608011344
3459.105058    -0.592560070
3459.177321    -0.600076119
3459.249583    -0.575322928
3459.321845    -0.588756087
3459.394108    -0.578254726
3459.466370    -0.612496751
3459.538633    -0.598233590
3459.610895    -0.605917285
3459.683157    -0.570794750
3459.755420    -0.581775489
3459.827682    -0.594442380
3459.899944    -0.595240600
3459.972207    -0.580253440
3460.044469    -0.596186805
3460.116732    -0.598189532
3460.188994    -0.576303906
3460.261256    -0.546123470
3460.333519    -0.584251884
3460.405781    -0.587446674
3460.478043    -0.595094880
3460.550306    -0.596174338
3460.622568    -0.567790146
3460.694830    -0.561748312
3460.767093    -0.572709129
3460.839355    -0.566710865
3460.911618    -0.568580186
3460.983880    -0.566967861
3461.056142    -0.589930910
3461.128405    -0.573106622
3461.200667    -0.563543777
3461.272929    -0.575304722
3461.345192    -0.569576956
3461.417454    -0.573308883
3461.489717    -0.564984027
3461.561979    -0.546456347
3461.634241    -0.563551220
3461.706504    -0.558628664
3461.778766    -0.543300787
3461.851028    -0.544524812
3461.923291    -0.527997635
3461.995553    -0.581889624
3462.067815    -0.537749632
3462.140078    -0.556025714
3462.212340    -0.545823302
3462.284603    -0.534371176
3462.356865    -0.529583495
3462.429127    -0.529013230
3462.501390    -0.540681700
3462.573652    -0.518299442
3462.645914    -0.544656440
3462.718177    -0.541391429
3462.790439    -0.526505144
3462.862702    -0.544980229
3462.934964    -0.504299309
3463.007226    -0.519736322
3463.079489    -0.501715258
3463.151751    -0.532598143
3463.224013    -0.536609969
3463.296276    -0.527423259
3463.368538    -0.517985646
3463.440800    -0.536062542
3463.513063    -0.520811036
3463.585325    -0.525416640
3463.657588    -0.500481435
3463.729850    -0.532491794
3463.802112    -0.506448296
3463.874375    -0.529895567
3463.946637    -0.533349440
3464.018899    -0.528547630
3464.091162    -0.534379563
3464.163424    -0.513765108
3464.235686    -0.499727728
3464.307949    -0.511199115
3464.380211    -0.503350557
3464.452474    -0.487526140
3464.524736    -0.506210427
3464.596998    -0.506151986
3464.669261    -0.511850528
3464.741523    -0.530114257
3464.813785    -0.494487820
3464.886048    -0.529976593
3464.958310    -0.493750369
3465.030573    -0.502313099
3465.102835    -0.484548392
3465.175097    -0.500790436
3465.247360    -0.510637215
3465.319622    -0.492285443
3465.391884    -0.504497349
3465.464147    -0.497815621
3465.536409    -0.493408749
3465.608671    -0.494811409
3465.680934    -0.494431019
3465.753196    -0.502627466
3465.825459    -0.492079809
3465.897721    -0.519273716
3465.969983    -0.489235029
3466.042246    -0.503185550
3466.114508    -0.468217870
3466.186770    -0.464816029
3466.259033    -0.510479639
3466.331295    -0.478714050
3466.403558    -0.481401092
3466.475820    -0.493522099
3466.548082    -0.469242188
3466.620345    -0.482386498
3466.692607    -0.500058788
3466.764869    -0.476837019
3466.837132    -0.473716597
3466.909394    -0.468580933
3466.981656    -0.486596034
3467.053919    -0.458204834
3467.126181    -0.454920051
3467.198444    -0.480726306
3467.270706    -0.472000829
3467.342968    -0.461889108
3467.415231    -0.467213475
3467.487493    -0.431775554
3467.559755    -0.452256192
3467.632018    -0.468057844
3467.704280    -0.462795274
3467.776543    -0.450052205
3467.848805    -0.413597053
3467.921067    -0.447337840
3467.993330    -0.440508205
3468.065592    -0.432401392
3468.137854    -0.437887568
3468.210117    -0.401404941
3468.282379    -0.439548300
3468.354641    -0.418055346
3468.426904    -0.423520007
3468.499166    -0.413657066
3468.571429    -0.436560163
3468.643691    -0.390289383
3468.715953    -0.414289882
3468.788216    -0.408392294
3468.860478    -0.418758238
3468.932740    -0.411913976
3469.005003    -0.389113726
3469.077265    -0.378907311
3469.149528    -0.378155419
3469.221790    -0.367291809
3469.294052    -0.370194394
3469.366315    -0.375829771
3469.438577    -0.359668988
3469.510839    -0.358785546
3469.583102    -0.364465280
3469.655364    -0.348014073
3469.727626    -0.335485809
3469.799889    -0.346470020
3469.872151    -0.350837556
3469.944414    -0.331067592
3470.016676    -0.309886102
3470.088938    -0.336839249
3470.161201    -0.331551400
3470.233463    -0.328891479
3470.305725    -0.306106561
3470.377988    -0.348033946
3470.450250    -0.313742096
3470.522513    -0.299968998
3470.594775    -0.327969299
3470.667037    -0.293847371
3470.739300    -0.307806974
3470.811562    -0.324411586
3470.883824    -0.315072166
3470.956087    -0.342890057
3471.028349    -0.332218478
3471.100611    -0.301799658
3471.172874    -0.346842253
3471.245136    -0.313422160
3471.317399    -0.348930415
3471.389661    -0.341694479
3471.461923    -0.364874099
3471.534186    -0.408286997
3471.606448    -0.394795260
3471.678710    -0.395012312
3471.750973    -0.426187440
3471.823235    -0.440840043
3471.895497    -0.427621237
3471.967760    -0.453883166
3472.040022    -0.480150786
3472.112285    -0.475841921
3472.184547    -0.463019382
3472.256809    -0.491257586
3472.329072    -0.478611743
3472.401334    -0.476851494
3472.473596    -0.504464269
3472.545859    -0.526219880
3472.618121    -0.532565681
3472.690384    -0.516890889
3472.762646    -0.505679421
3472.834908    -0.515757859
3472.907171    -0.512108634
3472.979433    -0.526238886
3473.051695    -0.514490229
3473.123958    -0.524249138
3473.196220    -0.520155661
3473.268482    -0.531824403
3473.340745    -0.533117557
3473.413007    -0.514134415
3473.485270    -0.519857838
3473.557532    -0.514070633
3473.629794    -0.486526799
3473.702057    -0.493886088
3473.774319    -0.445802050
3473.846581    -0.470557423
3473.918844    -0.489011784
3473.991106    -0.464171159
3474.063369    -0.465993691
3474.135631    -0.476865959
3474.207893    -0.446543883
3474.280156    -0.469642446
3474.352418    -0.498694499
3474.424680    -0.438479678
3474.496943    -0.454987122
3474.569205    -0.420410649
3474.641467    -0.447654504
3474.713730    -0.451649371
3474.785992    -0.408267834
3474.858255    -0.442955915
3474.930517    -0.420937297
3475.002779    -0.399515201
3475.075042    -0.415805239
3475.147304    -0.415618247
3475.219566    -0.410049398
3475.291829    -0.396541459
3475.364091    -0.417843190
3475.436354    -0.394658864
3475.508616    -0.392715524
3475.580878    -0.364830685
3475.653141    -0.401479362
3475.725403    -0.407784735
3475.797665    -0.381734496
3475.869928    -0.396303008
3475.942190    -0.384471722
3476.014452    -0.384994392
3476.086715    -0.368233361
3476.158977    -0.393202819
3476.231240    -0.383444015
3476.303502    -0.417784715
3476.375764    -0.392168987
3476.448027    -0.355477166
3476.520289    -0.386458492
3476.592551    -0.385484704
3476.664814    -0.391782586
3476.737076    -0.364424935
3476.809339    -0.369130421
3476.881601    -0.387891118
3476.953863    -0.359810141
3477.026126    -0.364687802
3477.098388    -0.356468308
3477.170650    -0.375783227
3477.242913    -0.340154316
3477.315175    -0.358529462
3477.387437    -0.365254196
3477.459700    -0.370178126
3477.531962    -0.365275104
3477.604225    -0.348306535
3477.676487    -0.363840389
3477.748749    -0.343351056
3477.821012    -0.349730289
3477.893274    -0.337725670
3477.965536    -0.344632749
3478.037799    -0.356566737
3478.110061    -0.382622957
3478.182324    -0.349654510
3478.254586    -0.341699119
3478.326848    -0.350009717
3478.399111    -0.343479007
3478.471373    -0.357653027
3478.543635    -0.355536735
3478.615898    -0.362934397
3478.688160    -0.328604174
3478.760422    -0.345353440
3478.832685    -0.354060829
3478.904947    -0.365516988
3478.977210    -0.347595818
3479.049472    -0.323601257
3479.121734    -0.337127437
3479.193997    -0.353652874
3479.266259    -0.321543626
3479.338521    -0.320815397
3479.410784    -0.326595327
3479.483046    -0.328654317
3479.555309    -0.322580195
3479.627571    -0.330767001
3479.699833    -0.326665858
3479.772096    -0.348583537
3479.844358    -0.314670748
3479.916620    -0.332420209
3479.988883    -0.305597116
3480.061145    -0.364092824
3480.133407    -0.323375118
3480.205670    -0.318647268
3480.277932    -0.337224859
3480.350195    -0.324940167
3480.422457    -0.319930561
3480.494719    -0.321720334
3480.566982    -0.337287759
3480.639244    -0.330801838
3480.711506    -0.313204719
3480.783769    -0.308753207
3480.856031    -0.325221426
3480.928293    -0.324854022
3481.000556    -0.322371331
3481.072818    -0.309498717
3481.145081    -0.339273342
3481.217343    -0.342598327
3481.289605    -0.320758851
3481.361868    -0.338004354
3481.434130    -0.329767119
3481.506392    -0.319289468
3481.578655    -0.312849530
3481.650917    -0.334815621
3481.723180    -0.306866142
3481.795442    -0.343697468
3481.867704    -0.309265420
3481.939967    -0.339516005
3482.012229    -0.334445309
3482.084491    -0.305870767
3482.156754    -0.320479720
3482.229016    -0.325489172
3482.301278    -0.319725688
3482.373541    -0.305823940
3482.445803    -0.312728667
3482.518066    -0.311717636
3482.590328    -0.295281304
3482.662590    -0.320420815
3482.734853    -0.316213420
3482.807115    -0.316301909
3482.879377    -0.291029724
3482.951640    -0.292970146
3483.023902    -0.288022008
3483.096165    -0.306611841
3483.168427    -0.307762830
3483.240689    -0.292423534
3483.312952    -0.309944603
3483.385214    -0.291469802
3483.457476    -0.292382522
3483.529739    -0.312461221
3483.602001    -0.302870895
3483.674263    -0.302763051
3483.746526    -0.275156906
3483.818788    -0.262084620
3483.891051    -0.300589531
3483.963313    -0.298301122
3484.035575    -0.331098942
3484.107838    -0.294171666
3484.180100    -0.296728416
3484.252362    -0.311622337
3484.324625    -0.283939143
3484.396887    -0.317552858
3484.469150    -0.297261484
3484.541412    -0.291490494
3484.613674    -0.311078241
3484.685937    -0.279798903
3484.758199    -0.276285882
3484.830461    -0.311224773
3484.902724    -0.310920274
3484.974986    -0.281037066
3485.047248    -0.289635601
3485.119511    -0.306216233
3485.191773    -0.292263451
3485.264036    -0.288918220
3485.336298    -0.288824147
3485.408560    -0.274082446
3485.480823    -0.279927224
3485.553085    -0.259148378
3485.625347    -0.264293102
3485.697610    -0.273818104
3485.769872    -0.267407674
3485.842135    -0.263209205
3485.914397    -0.271599843
3485.986659    -0.299122232
3486.058922    -0.268157924
3486.131184    -0.279016074
3486.203446    -0.255895686
3486.275709    -0.277503561
3486.347971    -0.270605064
3486.420233    -0.272863816
3486.492496    -0.252584709
3486.564758    -0.273885204
3486.637021    -0.279791378
3486.709283    -0.270768672
3486.781545    -0.281071546
3486.853808    -0.271716411
3486.926070    -0.273588763
3486.998332    -0.268929849
3487.070595    -0.244286464
3487.142857    -0.277603099
3487.215120    -0.270564276
3487.287382    -0.273414354
3487.359644    -0.260123834
3487.431907    -0.286529569
3487.504169    -0.278820471
3487.576431    -0.268718239
3487.648694    -0.259600821
3487.720956    -0.267636951
3487.793218    -0.273658056
3487.865481    -0.278406124
3487.937743    -0.257745074
3488.010006    -0.243609458
3488.082268    -0.259319627
3488.154530    -0.260694352
3488.226793    -0.256383985
3488.299055    -0.275985952
3488.371317    -0.266212746
3488.443580    -0.264990182
3488.515842    -0.256205067
3488.588105    -0.260385319
3488.660367    -0.277045704
3488.732629    -0.242366574
3488.804892    -0.233524364
3488.877154    -0.261415082
3488.949416    -0.251192284
3489.021679    -0.252526560
3489.093941    -0.244408789
3489.166203    -0.276797406
3489.238466    -0.231182980
3489.310728    -0.260898990
3489.382991    -0.235097459
3489.455253    -0.251748755
3489.527515    -0.258013915
3489.599778    -0.253805541
3489.672040    -0.238116142
3489.744302    -0.263167812
3489.816565    -0.255479957
3489.888827    -0.256457065
3489.961089    -0.273833071
3490.033352    -0.229340147
3490.105614    -0.239265257
3490.177877    -0.247423743
3490.250139    -0.229589365
3490.322401    -0.259877945
3490.394664    -0.246440705
3490.466926    -0.219667983
3490.539188    -0.229945289
3490.611451    -0.276031932
3490.683713    -0.291563769
3490.755976    -0.257578509
3490.828238    -0.226432211
3490.900500    -0.248182253
3490.972763    -0.243891907
3491.045025    -0.231282797
3491.117287    -0.252445998
3491.189550    -0.235874983
3491.261812    -0.226858434
3491.334074    -0.231008546
3491.406337    -0.231459708
3491.478599    -0.245406805
3491.550862    -0.228568166
3491.623124    -0.241697912
3491.695386    -0.215885597
3491.767649    -0.196878718
3491.839911    -0.244486977
3491.912173    -0.264788127
3491.984436    -0.238733469
3492.056698    -0.226463545
3492.128961    -0.216071178
3492.201223    -0.215060775
3492.273485    -0.241595588
3492.345748    -0.241139289
3492.418010    -0.210544797
3492.490272    -0.244309380
3492.562535    -0.211935390
3492.634797    -0.230517763
3492.707059    -0.215458645
3492.779322    -0.215738132
3492.851584    -0.214112963
3492.923847    -0.212875456
3492.996109    -0.238625522
3493.068371    -0.219284677
3493.140634    -0.222808613
3493.212896    -0.217915571
3493.285158    -0.203841762
3493.357421    -0.225136098
3493.429683    -0.230943669
3493.501946    -0.230565179
3493.574208    -0.223873468
3493.646470    -0.207771566
3493.718733    -0.229973403
3493.790995    -0.200607189
3493.863257    -0.212631550
3493.935520    -0.219524190
3494.007782    -0.234989430
3494.080044    -0.211398680
3494.152307    -0.204258270
3494.224569    -0.239393985
3494.296832    -0.195681930
3494.369094    -0.188394619
3494.441356    -0.206802142
3494.513619    -0.203909835
3494.585881    -0.175260239
3494.658143    -0.191796141
3494.730406    -0.222126837
3494.802668    -0.208613233
3494.874931    -0.209964474
3494.947193    -0.209177369
3495.019455    -0.240698029
3495.091718    -0.194535400
3495.163980    -0.214103587
3495.236242    -0.201714464
3495.308505    -0.205333571
3495.380767    -0.189910416
3495.453029    -0.206131152
3495.525292    -0.212622803
3495.597554    -0.192491762
3495.669817    -0.178976268
3495.742079    -0.203260265
3495.814341    -0.177811491
3495.886604    -0.193077418
3495.958866    -0.203768735
3496.031128    -0.172901719
3496.103391    -0.206102760
3496.175653    -0.178470006
3496.247916    -0.199515866
3496.320178    -0.184708185
3496.392440    -0.208207404
3496.464703    -0.201379079
3496.536965    -0.172591551
3496.609227    -0.184244220
3496.681490    -0.185276976
3496.753752    -0.191055208
3496.826014    -0.176931650
3496.898277    -0.202521206
3496.970539    -0.197188458
3497.042802    -0.181844711
3497.115064    -0.190318876
3497.187326    -0.186954169
3497.259589    -0.176332692
3497.331851    -0.175787684
3497.404113    -0.175473370
3497.476376    -0.146388600
3497.548638    -0.154269050
3497.620901    -0.149392945
3497.693163    -0.165968237
3497.765425    -0.171118535
3497.837688    -0.183103538
3497.909950    -0.165119762
3497.982212    -0.188492387
3498.054475    -0.164642628
3498.126737    -0.142993169
3498.198999    -0.128444164
3498.271262    -0.135885473
3498.343524    -0.160340289
3498.415787    -0.138433757
3498.488049    -0.154872094
3498.560311    -0.129140474
3498.632574    -0.140456018
3498.704836    -0.124023252
3498.777098    -0.096717964
3498.849361    -0.118390294
3498.921623    -0.095489276
3498.993885    -0.124485545
3499.066148    -0.129484587
3499.138410    -0.102881042
3499.210673    -0.094817618
3499.282935    -0.125645609
3499.355197    -0.114110433
3499.427460    -0.133805439
3499.499722    -0.113561525
3499.571984    -0.095492719
3499.644247    -0.107520873
3499.716509    -0.112455188
3499.788772    -0.122640587
3499.861034    -0.094863958
3499.933296    -0.086793290
3500.005559    -0.088019047
3500.077821    -0.091418898
3500.150083    -0.112268626
3500.222346    -0.066812657
3500.294608    -0.092219305
3500.366870    -0.092636993
3500.439133    -0.079209986
3500.511395    -0.120970769
3500.583658    -0.090263351
3500.655920    -0.091443892
3500.728182    -0.084453573
3500.800445    -0.070991582
3500.872707    -0.084788480
3500.944969    -0.119732888
3501.017232    -0.099730478
3501.089494    -0.093884108
3501.161757    -0.097162315
3501.234019    -0.120726788
3501.306281    -0.129386005
3501.378544    -0.100560822
3501.450806    -0.107222545
3501.523068    -0.116447174
3501.595331    -0.145374647
3501.667593    -0.098692549
3501.739855    -0.171129211
3501.812118    -0.138631571
3501.884380    -0.107307374
3501.956643    -0.144411294
3502.028905    -0.142986644
3502.101167    -0.167609957
3502.173430    -0.134513303
3502.245692    -0.176704693
3502.317954    -0.157461505
3502.390217    -0.162145072
3502.462479    -0.181986442
3502.534742    -0.155966200
3502.607004    -0.191293460
3502.679266    -0.182019654
3502.751529    -0.173471581
3502.823791    -0.179644029
3502.896053    -0.167017404
3502.968316    -0.160183537
3503.040578    -0.177357608
3503.112840    -0.180055456
3503.185103    -0.178457498
3503.257365    -0.174697913
3503.329628    -0.155735831
3503.401890    -0.168567048
3503.474152    -0.157081313
3503.546415    -0.161723509
3503.618677    -0.169851220
3503.690939    -0.141935261
3503.763202    -0.166394082
3503.835464    -0.147786068
3503.907727    -0.122663512
3503.979989    -0.156525727
3504.052251    -0.137576385
3504.124514    -0.155891307
3504.196776    -0.136168719
3504.269038    -0.146350504
3504.341301    -0.125602555
3504.413563    -0.123845848
3504.485825    -0.109686800
