# Sample: generic nitroxide spin label
# Condition: room temperature solution cw-EPR
# Solvent: buffer or organic solvent
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: SimEPR demo
Field_G    Intensity
3450.000000    -0.003611391
3450.072262    -0.014141038
3450.144525    -0.012510221
3450.216787    -0.042529520
3450.289049    0.020259721
3450.361312    0.010562896
3450.433574    -0.011184266
3450.505837    0.005094775
3450.578099    -0.002189967
3450.650361    -0.014543811
3450.722624    0.008132505
3450.794886    -0.010928435
3450.867148    -0.011191693
3450.939411    -0.018043105
3451.011673    0.000424935
3451.083936    -0.007771081
3451.156198    0.001776407
3451.228460    -0.015276511
3451.300723    -0.004403758
3451.372985    -0.019482364
3451.445247    0.006189321
3451.517510    -0.003476244
3451.589772    -0.001359131
3451.662034    -0.000168729
3451.734297    -0.021200499
3451.806559    0.005362318
3451.878822    0.024221411
3451.951084    -0.030470651
3452.023346    -0.031810108
3452.095609    -0.028478495
3452.167871    0.006260785
3452.240133    -0.004282793
3452.312396    0.009781684
3452.384658    0.004520283
3452.456921    -0.003049607
3452.529183    -0.001954928
3452.601445    -0.008665350
3452.673708    0.006710583
3452.745970    -0.022861251
3452.818232    -0.012375688
3452.890495    -0.002527534
3452.962757    0.020549825
3453.035019    -0.017425799
3453.107282    -0.022075609
3453.179544    -0.014433461
3453.251807    0.008260167
3453.324069    -0.009559591
3453.396331    0.013530655
3453.468594    -0.033785533
3453.540856    0.010646194
3453.613118    0.009266951
3453.685381    -0.027045510
3453.757643    -0.003764377
3453.829906    0.011966165
3453.902168    -0.004722063
3453.974430    0.008782207
3454.046693    0.029146232
3454.118955    -0.001947029
3454.191217    -0.010145383
3454.263480    -0.017401605
3454.335742    0.003612735
3454.408004    -0.008885595
3454.480267    -0.008612220
3454.552529    -0.007517237
3454.624792    0.003668103
3454.697054    -0.021729772
3454.769316    -0.028584343
3454.841579    -0.041959090
3454.913841    0.011820657
3454.986103    -0.004823736
3455.058366    0.016445355
3455.130628    -0.006034352
3455.202890    -0.016880731
3455.275153    0.001187342
3455.347415    -0.007014017
3455.419678    -0.024438833
3455.491940    -0.018967585
3455.564202    0.020294842
3455.636465    -0.000606168
3455.708727    0.000319315
3455.780989    -0.009931080
3455.853252    -0.016040035
3455.925514    0.007376223
3455.997777    -0.007364572
3456.070039    -0.017045693
3456.142301    -0.007786956
3456.214564    -0.019199966
3456.286826    -0.002973870
3456.359088    0.010936001
3456.431351    -0.018149346
3456.503613    0.015381117
3456.575875    -0.015641219
3456.648138    -0.003480315
3456.720400    -0.018125131
3456.792663    -0.009026682
3456.864925    -0.005028039
3456.937187    -0.012157235
3457.009450    -0.016120271
3457.081712    -0.015743000
3457.153974    -0.017856710
3457.226237    -0.028935798
3457.298499    -0.009579478
3457.370762    0.000258774
3457.443024    0.007774673
3457.515286    0.003913834
3457.587549    0.030717889
3457.659811    -0.000933435
3457.732073    -0.012398813
3457.804336    0.022069267
3457.876598    -0.021131321
3457.948860    0.008714187
3458.021123    -0.019754011
3458.093385    -0.000365920
3458.165648    -0.034738825
3458.237910    0.007718462
3458.310172    -0.007928844
3458.382435    -0.019903713
3458.454697    0.019273676
3458.526959    0.005764766
3458.599222    -0.004879505
3458.671484    -0.016585215
3458.743747    -0.006185139
3458.816009    -0.007962701
3458.888271    0.005199978
3458.960534    0.006292197
3459.032796    -0.015399321
3459.105058    -0.013639676
3459.177321    -0.013376326
3459.249583    -0.025466922
3459.321845    -0.014242884
3459.394108    -0.006846539
3459.466370    0.004756717
3459.538633    0.014081312
3459.610895    -0.017423016
3459.683157    0.002706210
3459.755420    -0.012022002
3459.827682    0.025283468
3459.899944    -0.006149596
3459.972207    0.002011826
3460.044469    -0.019271975
3460.116732    -0.017407418
3460.188994    -0.002413906
3460.261256    -0.011077570
3460.333519    -0.000155497
3460.405781    -0.028497714
3460.478043    0.004428805
3460.550306    -0.018678667
3460.622568    0.020140550
3460.694830    -0.009619465
3460.767093    0.010900713
3460.839355    -0.025984837
3460.911618    0.001021974
3460.983880    -0.018466023
3461.056142    -0.012520749
3461.128405    -0.004942040
3461.200667    -0.009992607
3461.272929    -0.001379980
3461.345192    0.005782978
3461.417454    0.004385764
3461.489717    -0.006565160
3461.561979    -0.025445832
3461.634241    -0.017166954
3461.706504    -0.008146363
3461.778766    -0.036650768
3461.851028    0.005898854
3461.923291    -0.008774356
3461.995553    -0.008940073
3462.067815    0.008826212
3462.140078    0.004681680
3462.212340    -0.001926720
3462.284603    -0.020013731
3462.356865    -0.000588625
3462.429127    -0.000052127
3462.501390    -0.018266684
3462.573652    0.010281954
3462.645914    0.002363269
3462.718177    -0.034304117
