# Sample: generic organic radical mixture
# Condition: room temperature solution cw-EPR
# Solvent: user-defined solvent
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: SimEPR demo
Field_G    Intensity
3450.000000    -0.001835085
3450.072262    0.008159730
3450.144525    -0.002132545
3450.216787    -0.036386650
3450.289049    0.009946478
3450.361312    0.000329585
3450.433574    -0.020285344
3450.505837    0.003176044
3450.578099    -0.001355824
3450.650361    -0.002823159
3450.722624    -0.008386240
3450.794886    0.002494902
3450.867148    -0.024409079
3450.939411    -0.012369012
3451.011673    -0.019054223
3451.083936    0.003628880
3451.156198    -0.008088482
3451.228460    -0.015045725
3451.300723    -0.025301726
3451.372985    -0.014285811
3451.445247    -0.008710364
3451.517510    -0.014651720
3451.589772    0.018281768
3451.662034    0.012265020
3451.734297    -0.065706591
3451.806559    -0.048452093
3451.878822    -0.012486192
3451.951084    -0.017665603
3452.023346    -0.004319032
3452.095609    -0.004231742
3452.167871    0.035641245
3452.240133    -0.032094117
3452.312396    -0.016679806
3452.384658    0.034097109
3452.456921    0.004825049
3452.529183    0.005178330
3452.601445    -0.019500284
3452.673708    -0.043276964
3452.745970    -0.005186346
3452.818232    -0.006402207
3452.890495    -0.034422022
3452.962757    -0.022999002
3453.035019    -0.010169466
3453.107282    -0.028464168
3453.179544    -0.010699301
3453.251807    -0.006625253
3453.324069    -0.007871446
3453.396331    -0.019227070
3453.468594    0.003856113
3453.540856    0.010104527
3453.613118    -0.001847634
3453.685381    -0.025729390
3453.757643    0.006789132
3453.829906    -0.019064539
3453.902168    0.009903340
3453.974430    -0.031007174
3454.046693    0.010664144
3454.118955    -0.008927272
3454.191217    -0.034688509
3454.263480    -0.015070149
3454.335742    -0.007341276
3454.408004    -0.002744199
3454.480267    -0.029056947
3454.552529    -0.031672539
3454.624792    -0.004249304
3454.697054    -0.018215365
3454.769316    -0.003475609
3454.841579    0.007525581
3454.913841    -0.042977917
3454.986103    -0.003049162
3455.058366    0.017311903
3455.130628    -0.014605177
3455.202890    -0.025361127
3455.275153    0.007433759
3455.347415    -0.003018257
3455.419678    0.010466819
3455.491940    -0.015554783
3455.564202    -0.039384603
3455.636465    -0.010601156
3455.708727    -0.017634709
3455.780989    0.007988777
3455.853252    -0.004201912
3455.925514    -0.042459830
3455.997777    -0.033311291
3456.070039    0.010304337
3456.142301    0.006035118
3456.214564    -0.021641592
3456.286826    -0.008224514
3456.359088    0.001153410
3456.431351    0.001642413
3456.503613    0.010206842
3456.575875    -0.002782262
3456.648138    -0.010140850
3456.720400    -0.013570988
3456.792663    0.014012357
3456.864925    -0.055332547
3456.937187    -0.011019573
3457.009450    -0.007409009
3457.081712    -0.037987378
3457.153974    -0.001100227
3457.226237    -0.021731229
3457.298499    0.010028923
3457.370762    -0.010684766
3457.443024    0.005994952
3457.515286    0.017534704
3457.587549    0.000011755
3457.659811    -0.026377991
3457.732073    -0.039762275
3457.804336    0.028787101
3457.876598    -0.010313878
3457.948860    -0.022411891
3458.021123    -0.004933523
3458.093385    -0.011963946
3458.165648    0.009934464
3458.237910    -0.007217232
3458.310172    -0.007630336
3458.382435    -0.022896721
3458.454697    0.001950618
3458.526959    -0.029573410
3458.599222    0.006088684
3458.671484    0.024096164
3458.743747    -0.039837806
3458.816009    -0.059576298
3458.888271    0.005101252
3458.960534    0.045614028
3459.032796    -0.028811491
3459.105058    -0.034040234
3459.177321    0.004556408
3459.249583    -0.025420850
3459.321845    -0.018390543
3459.394108    -0.015068322
3459.466370    0.003402103
3459.538633    -0.016247480
3459.610895    -0.001907702
3459.683157    -0.011428824
3459.755420    -0.025432705
3459.827682    -0.014414076
3459.899944    -0.027630052
3459.972207    -0.007548867
3460.044469    -0.031248186
3460.116732    -0.030588416
3460.188994    0.022904315
3460.261256    -0.008760474
3460.333519    -0.008765387
3460.405781    0.003104685
3460.478043    -0.016441888
3460.550306    -0.012397847
3460.622568    0.001323156
3460.694830    -0.001660487
3460.767093    -0.031889900
3460.839355    0.009915351
3460.911618    -0.019937878
3460.983880    -0.029694499
3461.056142    -0.026420602
3461.128405    -0.015714809
3461.200667    0.026619138
3461.272929    -0.032159497
3461.345192    -0.004135231
3461.417454    -0.052322962
3461.489717    -0.007505355
3461.561979    0.011405836
3461.634241    -0.012416149
3461.706504    -0.020642609
3461.778766    -0.002576015
3461.851028    0.007263753
3461.923291    0.006508444
3461.995553    0.033970683
3462.067815    -0.003004074
3462.140078    -0.019806812
3462.212340    -0.010013393
3462.284603    -0.008881501
3462.356865    -0.005069974
3462.429127    -0.007970389
3462.501390    -0.003681521
3462.573652    -0.042365921
3462.645914    0.010091146
3462.718177    -0.019354973
3462.790439    -0.031896518
3462.862702    0.006097010
3462.934964    0.020361073
3463.007226    0.003081785
3463.079489    -0.003868928
3463.151751    -0.026792137
3463.224013    0.053001501
3463.296276    0.011244457
3463.368538    -0.031105010
3463.440800    -0.023551147
3463.513063    -0.005363917
3463.585325    -0.039788223
3463.657588    -0.003630996
3463.729850    -0.016786731
3463.802112    0.018573050
3463.874375    0.013043440
3463.946637    -0.063995883
3464.018899    -0.006242498
3464.091162    -0.041033015
3464.163424    0.016177490
3464.235686    -0.003560752
3464.307949    0.004426093
3464.380211    -0.029407137
3464.452474    0.031294605
3464.524736    0.035324430
3464.596998    -0.029369244
3464.669261    0.000793921
3464.741523    -0.021137971
3464.813785    -0.007499837
3464.886048    -0.033541719
3464.958310    0.032177762
3465.030573    -0.027303278
3465.102835    -0.013175105
3465.175097    0.003563817
3465.247360    -0.020526921
3465.319622    -0.011953855
3465.391884    -0.018746378
3465.464147    -0.009713318
3465.536409    -0.031455685
3465.608671    -0.016080375
3465.680934    -0.011223049
3465.753196    -0.013873177
3465.825459    -0.005674136
3465.897721    -0.013000774
3465.969983    0.008955555
3466.042246    -0.013611651
3466.114508    -0.009688723
3466.186770    -0.020755987
3466.259033    -0.017845715
3466.331295    -0.033314449
3466.403558    0.004099518
3466.475820    -0.030735723
3466.548082    -0.022405678
3466.620345    0.000783706
3466.692607    0.001702684
3466.764869    -0.015123327
3466.837132    -0.049074441
3466.909394    0.002109479
3466.981656    -0.001256232
3467.053919    -0.036314678
3467.126181    0.009477144
3467.198444    -0.021375386
3467.270706    -0.030281333
3467.342968    -0.004641722
