# Synthetic Cu(II) axial powder (pepper)
# Microwave Frequency: 9.85 GHz
# Field unit: mT
Field_mT	Intensity
280.00000	4.1131539e-02
280.03908	-5.0797748e-02
280.07816	8.6823947e-03
280.11724	-1.1029988e-02
280.15633	-8.7224799e-03
280.19541	-3.9762155e-03
280.23449	-4.0058658e-02
280.27357	-4.2921188e-03
280.31265	-1.6951483e-02
280.35173	6.6821437e-02
280.39082	4.8824434e-03
280.42990	-6.6827789e-03
280.46898	-5.2497366e-03
280.50806	-1.2978586e-02
280.54714	-2.0714190e-02
280.58622	-7.4205447e-03
280.62531	1.0041207e-02
280.66439	-4.3617809e-03
280.70347	1.9571649e-02
280.74255	-3.5694612e-03
280.78163	9.2022611e-04
280.82071	3.1356526e-02
280.85979	1.1349336e-02
280.89888	-9.6491599e-03
280.93796	-3.1929415e-03
280.97704	1.1282997e-02
281.01612	3.9183155e-02
281.05520	-4.9018709e-03
281.09428	-4.3712270e-03
281.13337	2.0557510e-02
281.17245	-1.7205959e-02
281.21153	-5.3024894e-03
281.25061	1.8191245e-02
281.28969	1.2158341e-02
281.32877	2.3928684e-03
281.36786	1.3976165e-02
281.40694	-5.5977269e-02
281.44602	2.1024375e-02
281.48510	-1.8582003e-02
281.52418	-3.2747574e-02
281.56326	6.1700258e-03
281.60234	1.4665075e-02
281.64143	-8.2295889e-03
281.68051	-2.0847515e-02
281.71959	1.2184366e-03
281.75867	-3.4315829e-04
281.79775	2.8840150e-02
281.83683	1.5693312e-02
281.87592	4.6390149e-03
281.91500	2.3014085e-02
281.95408	-3.3070162e-03
281.99316	-1.7695532e-02
282.03224	1.2520695e-02
282.07132	1.2511272e-02
282.11041	-3.4142992e-03
282.14949	-1.4751285e-02
282.18857	5.5114508e-03
282.22765	-4.8925101e-02
282.26673	1.4780662e-02
282.30581	1.0832545e-02
282.34489	-3.1741254e-02
282.38398	2.2910973e-03
282.42306	-1.8191180e-02
282.46214	1.6266503e-02
282.50122	-3.9528571e-02
282.54030	-1.7100893e-02
282.57938	1.5416472e-02
282.61847	2.4390556e-02
282.65755	-4.1857977e-02
282.69663	-8.6158721e-03
282.73571	7.9521236e-03
282.77479	-1.0747045e-02
282.81387	3.3296798e-02
282.85296	-2.2287974e-02
282.89204	8.6832424e-03
282.93112	-1.9315576e-02
282.97020	2.9836090e-02
283.00928	1.3530256e-03
283.04836	-5.5842247e-03
283.08745	-3.2419970e-02
283.12653	3.5670136e-02
283.16561	1.7183229e-02
283.20469	1.7302054e-02
283.24377	2.5103536e-02
283.28285	9.4570790e-03
283.32193	-1.0172803e-02
283.36102	-1.3238537e-02
283.40010	-1.3067160e-02
283.43918	3.0527211e-02
283.47826	-2.5869089e-02
283.51734	-8.3559785e-03
283.55642	-2.5990803e-03
283.59551	8.6033940e-03
283.63459	1.5934685e-02
283.67367	-2.0203643e-02
283.71275	-2.9434313e-02
283.75183	5.5056045e-03
283.79091	3.0336666e-02
283.83000	2.1726164e-02
283.86908	1.1469338e-02
283.90816	1.4340919e-03
283.94724	1.4317865e-02
283.98632	4.3247563e-03
284.02540	2.6336231e-02
284.06448	-5.0313412e-03
284.10357	1.4474897e-02
284.14265	1.0575749e-02
284.18173	2.4729840e-02
284.22081	1.9500977e-02
284.25989	6.7222496e-02
284.29897	4.7475009e-02
284.33806	4.8788983e-02
284.37714	-2.0515785e-02
284.41622	1.4952274e-02
284.45530	1.1130976e-02
284.49438	3.5557199e-02
284.53346	-1.9029874e-02
284.57255	5.1730633e-02
284.61163	5.1299511e-02
284.65071	5.6502579e-03
284.68979	1.3853869e-02
284.72887	1.9118541e-02
284.76795	3.7684805e-02
284.80703	5.1248939e-02
284.84612	8.0902077e-02
284.88520	3.7382124e-02
284.92428	5.7906851e-02
284.96336	4.6696260e-02
285.00244	7.9585757e-02
285.04152	5.9773871e-02
285.08061	7.2574376e-02
285.11969	2.3639125e-02
285.15877	4.1054327e-02
285.19785	2.8058497e-02
285.23693	7.3616246e-02
285.27601	5.5630244e-02
285.31510	3.5145136e-02
285.35418	3.0807178e-02
285.39326	4.8031733e-02
285.43234	2.2701382e-02
285.47142	1.6448939e-02
285.51050	4.2977519e-02
285.54958	8.0889590e-02
285.58867	2.4981134e-02
285.62775	1.7081388e-02
285.66683	3.1029427e-03
285.70591	-1.8105666e-03
285.74499	3.3799133e-02
285.78407	3.8784212e-02
285.82316	2.0481107e-02
285.86224	2.5543268e-02
285.90132	1.9871614e-02
285.94040	1.9057042e-02
285.97948	-1.5437327e-02
286.01856	4.7974707e-03
286.05765	1.5129180e-02
286.09673	-3.7565568e-03
286.13581	1.4564213e-03
286.17489	-6.2526258e-03
286.21397	2.6691912e-03
286.25305	2.5672901e-02
286.29213	-1.8976489e-04
286.33122	4.2540139e-03
286.37030	2.3048604e-02
286.40938	1.9157792e-02
286.44846	3.9700612e-02
286.48754	-3.6434364e-02
286.52662	2.2130770e-02
286.56571	-4.9975496e-03
286.60479	7.0299152e-03
286.64387	2.0809099e-02
