# Synthetic kinetics t=10 min (nitroxide adduct)
# Microwave Frequency: 9.85 GHz
# Field unit: mT
Field_mT	Intensity
344.82769	5.0436072e-03
344.83942	2.7280223e-03
344.85115	2.4778042e-02
344.86288	-6.2835247e-04
344.87461	-2.6354166e-02
344.88634	-1.7862373e-04
344.89807	1.0409880e-02
344.90980	2.4165355e-02
344.92153	3.7533769e-02
344.93326	-2.7085945e-02
344.94499	-1.1411098e-02
344.95672	-3.1756338e-03
344.96845	1.7905955e-02
344.98018	-3.6176689e-03
344.99191	-1.2153945e-02
345.00364	-4.4566953e-03
345.01537	-2.4118555e-02
345.02710	-1.2521855e-02
345.03883	7.8119021e-03
345.05056	-1.6143435e-03
345.06229	-2.7190251e-02
345.07403	-3.5514100e-02
345.08576	2.5486786e-02
345.09749	2.6823759e-02
345.10922	-2.1735040e-03
345.12095	-4.3410072e-03
345.13268	1.6353174e-02
345.14441	1.7531215e-02
345.15614	2.6151742e-02
345.16787	3.4949259e-02
345.17960	5.1416951e-03
345.19133	-4.2286517e-02
345.20306	1.3837081e-02
345.21479	-6.3513881e-03
345.22652	-3.4663634e-02
345.23825	1.4592046e-02
345.24998	3.4143260e-02
345.26171	-1.0291919e-02
345.27344	1.1158676e-02
345.28517	2.0181243e-02
345.29690	6.7342165e-03
345.30863	1.2476102e-02
345.32036	-5.3951900e-03
345.33209	-4.6625228e-03
345.34382	-1.3389318e-03
345.35555	8.8312619e-03
345.36728	2.4014978e-03
345.37901	-1.9343395e-02
345.39074	-1.3588057e-02
345.40247	5.2107013e-03
345.41420	2.7536498e-03
345.42593	-6.9268760e-03
345.43766	8.4765874e-03
345.44939	-8.8840919e-03
345.46112	3.3953010e-02
345.47285	-2.2079832e-04
345.48458	5.6585999e-02
345.49631	1.1920068e-02
345.50804	-2.3324651e-02
345.51977	1.8463009e-02
345.53150	-7.2165646e-03
345.54323	-7.9018004e-03
345.55496	-2.2914206e-03
345.56669	3.5855416e-02
345.57842	9.9774123e-04
345.59015	-1.8538457e-02
345.60188	-3.1375794e-02
345.61361	-1.5891464e-02
345.62534	-4.3646231e-03
345.63707	-1.1130136e-02
345.64881	6.5552836e-04
345.66054	-1.1370241e-02
345.67227	-7.7901271e-04
345.68400	-4.9950141e-02
345.69573	3.1891306e-02
345.70746	-2.8700452e-02
345.71919	-4.4416918e-03
345.73092	-3.9954109e-03
345.74265	2.5448367e-03
345.75438	1.3939143e-02
345.76611	1.4717401e-03
345.77784	2.3252884e-02
345.78957	-2.8890380e-02
345.80130	2.8990142e-02
345.81303	-3.4136358e-03
345.82476	2.7652757e-02
345.83649	8.6384199e-03
345.84822	1.6523040e-02
345.85995	1.5643385e-02
345.87168	3.5346972e-02
345.88341	-2.2442898e-02
345.89514	-3.1308865e-05
345.90687	1.6988443e-02
345.91860	-1.6980393e-03
345.93033	4.1004413e-02
345.94206	-1.6336449e-02
345.95379	3.6622016e-02
345.96552	-9.8511409e-03
345.97725	-3.8646369e-02
345.98898	2.0480808e-02
346.00071	-3.6164439e-02
346.01244	-3.6952378e-04
346.02417	2.6252019e-02
346.03590	2.3345899e-02
346.04763	1.4376463e-02
346.05936	-6.8568468e-03
346.07109	7.6407168e-04
346.08282	-2.8828958e-02
346.09455	-1.3145055e-02
346.10628	-1.7319288e-02
346.11801	-1.7388402e-02
346.12974	1.7550292e-02
346.14147	-1.0337379e-02
346.15320	-1.5970308e-02
346.16493	-1.8241021e-02
346.17666	1.9035823e-02
346.18839	-7.3728848e-03
346.20012	7.8745148e-05
346.21185	-8.1078302e-04
346.22359	-9.6723620e-03
346.23532	9.0744163e-03
346.24705	4.3315995e-03
346.25878	-1.9970508e-02
346.27051	-1.7293270e-02
346.28224	-2.2254099e-02
346.29397	-6.4450478e-03
346.30570	3.4510693e-02
346.31743	-1.2481887e-02
346.32916	1.4190773e-02
346.34089	-2.8382419e-02
346.35262	-2.8105218e-03
346.36435	1.1400785e-02
346.37608	-5.7781715e-03
346.38781	-2.4577968e-03
346.39954	2.4457922e-02
346.41127	-3.3891306e-02
346.42300	3.4963250e-03
346.43473	1.8903205e-02
346.44646	2.1306459e-02
346.45819	-1.6500305e-02
346.46992	-2.5970427e-02
346.48165	-3.7482463e-03
346.49338	-1.7242618e-02
346.50511	-1.9027397e-02
346.51684	-2.2694928e-02
346.52857	-4.3587246e-02
346.54030	1.7788136e-02
346.55203	2.2464213e-02
346.56376	2.4732285e-02
346.57549	3.1996875e-03
346.58722	-1.6457714e-02
346.59895	-1.8028517e-02
346.61068	6.1033295e-03
346.62241	-6.2883479e-03
346.63414	2.5131929e-02
346.64587	-8.4575926e-03
346.65760	1.5962371e-03
346.66933	3.0686667e-02
346.68106	-1.2651787e-02
346.69279	-2.8145494e-02
346.70452	-1.9753472e-02
346.71625	2.4356947e-02
346.72798	1.4591170e-02
346.73971	-2.5557310e-02
346.75144	1.0829537e-02
346.76317	-5.9852081e-03
346.77490	2.7930371e-02
346.78663	1.4303534e-03
346.79837	-2.7389701e-03
346.81010	-3.6133775e-03
346.82183	1.0844826e-02
346.83356	3.9507628e-02
346.84529	-1.3246198e-02
346.85702	2.6519238e-02
346.86875	-1.6946887e-02
346.88048	4.1355813e-03
346.89221	-2.1565698e-02
346.90394	9.7046245e-03
346.91567	-3.0925606e-02
346.92740	2.9434538e-02
346.93913	9.4006361e-03
346.95086	-2.0912760e-02
346.96259	-1.1664312e-02
346.97432	-2.9104916e-02
346.98605	1.4850945e-02
346.99778	-1.0270881e-02
347.00951	1.6725382e-02
347.02124	-3.5594537e-02
347.03297	1.3431739e-02
347.04470	-5.1874728e-03
347.05643	3.5241043e-02
347.06816	6.0587362e-03
347.07989	1.5605353e-02
347.09162	2.6841530e-02
347.10335	2.1841047e-02
347.11508	-1.7053359e-02
347.12681	1.4097344e-02
347.13854	1.4708472e-02
347.15027	7.7027244e-03
347.16200	-3.4226014e-02
347.17373	-9.4943257e-05
347.18546	-9.9725233e-03
347.19719	1.5431228e-02
347.20892	-9.4854385e-03
347.22065	-5.9704293e-03
347.23238	3.6254780e-04
347.24411	3.2309838e-03
347.25584	-3.8522437e-03
347.26757	-3.2535979e-02
347.27930	-2.8268131e-02
347.29103	1.0744528e-02
347.30276	7.0849063e-03
347.31449	-7.1805289e-03
347.32622	3.2347573e-02
347.33795	-1.8735695e-02
347.34968	2.3633242e-02
347.36142	-2.6319740e-02
347.37315	-1.7362326e-02
347.38488	7.2670208e-03
347.39661	4.0599675e-03
347.40834	2.8723013e-02
347.42007	-6.5025089e-03
347.43180	-1.6385414e-02
347.44353	2.3633888e-02
347.45526	2.7400827e-02
347.46699	-2.5129623e-02
347.47872	-5.2620803e-02
347.49045	-3.7469586e-02
347.50218	2.3358250e-02
347.51391	-3.5230740e-02
347.52564	1.2171222e-02
347.53737	2.8428584e-03
347.54910	-5.1703623e-03
347.56083	3.0781828e-02
347.57256	-4.6256324e-03
347.58429	5.8432098e-02
347.59602	2.4630861e-02
347.60775	1.2205376e-02
347.61948	-2.7226322e-02
347.63121	-1.5781670e-02
347.64294	3.2962271e-03
347.65467	-1.8435828e-02
347.66640	-2.5912102e-02
347.67813	-1.3063500e-02
347.68986	-4.1351628e-03
347.70159	5.8608571e-03
347.71332	-7.9911433e-03
347.72505	6.2127279e-03
347.73678	-9.6915927e-03
347.74851	3.3160334e-02
347.76024	8.9557593e-03
347.77197	4.6288006e-03
347.78370	-1.5763862e-02
347.79543	-1.8590408e-02
347.80716	-1.6017446e-02
347.81889	-4.8615459e-03
347.83062	-4.9152895e-02
347.84235	-2.9553376e-02
347.85408	-1.3831789e-02
347.86581	-1.3130331e-02
347.87754	-2.5622676e-02
347.88927	-2.1324243e-03
347.90100	2.9852200e-02
347.91273	-1.6464998e-02
347.92446	1.8974464e-02
347.93620	-2.2184831e-02
347.94793	-6.6121105e-03
347.95966	2.7859477e-02
347.97139	2.3723127e-02
347.98312	4.0051684e-03
347.99485	-1.6243695e-03
348.00658	4.9342426e-02
348.01831	-4.1232372e-02
348.03004	2.5559428e-02
348.04177	-1.4469109e-02
348.05350	-3.7982394e-02
348.06523	2.9779626e-02
348.07696	-1.6277528e-02
348.08869	9.9684098e-03
348.10042	-1.2533741e-02
348.11215	1.9872001e-02
348.12388	3.0420455e-03
348.13561	3.1438403e-02
348.14734	-9.8590246e-03
348.15907	-1.1068515e-02
348.17080	-3.5665578e-02
348.18253	2.3794040e-02
348.19426	8.6520205e-03
348.20599	-1.8542997e-03
348.21772	-9.8698682e-03
348.22945	1.1563880e-02
348.24118	-1.6306427e-03
348.25291	1.9190510e-03
348.26464	-5.4603179e-03
348.27637	4.6662249e-02
348.28810	-2.2234204e-03
348.29983	-8.5858423e-03
348.31156	-3.0809868e-02
348.32329	2.2030003e-02
348.33502	1.6618673e-02
348.34675	1.2339323e-02
348.35848	2.1632172e-02
348.37021	2.6032758e-02
348.38194	-1.3872955e-02
348.39367	-2.4353351e-02
348.40540	-3.0650269e-02
348.41713	3.6200691e-02
348.42886	-1.5484376e-03
348.44059	3.3599777e-02
348.45232	1.1168306e-02
348.46405	-1.7650149e-02
348.47578	5.7279940e-02
348.48751	6.4182548e-03
348.49924	8.5969973e-03
348.51098	-1.0347770e-02
348.52271	1.0246435e-02
348.53444	-2.0727419e-02
348.54617	-4.0220332e-02
348.55790	-1.5618579e-02
348.56963	1.4372201e-03
348.58136	2.4448667e-03
348.59309	-2.1825679e-02
348.60482	-1.4027386e-02
348.61655	1.4716631e-02
348.62828	-2.7574326e-02
348.64001	-2.4040012e-02
348.65174	1.5210920e-02
348.66347	-6.8347236e-03
348.67520	6.5686605e-03
348.68693	8.1592105e-03
348.69866	-1.3707211e-02
348.71039	2.8181060e-03
348.72212	1.5966915e-02
348.73385	3.9588322e-03
348.74558	1.2745116e-02
348.75731	4.6358819e-04
348.76904	-2.5126121e-02
348.78077	-6.9083904e-03
348.79250	7.7051551e-03
348.80423	-3.0416650e-03
348.81596	8.9576214e-03
348.82769	3.2007574e-02
348.83942	9.8606491e-03
348.85115	-1.6532894e-04
348.86288	2.0891434e-02
348.87461	3.8980535e-02
348.88634	5.8243515e-03
348.89807	1.8072219e-02
348.90980	-2.9010237e-02
348.92153	2.7580745e-02
348.93326	8.2556627e-03
348.94499	-1.1867644e-02
348.95672	3.7440507e-02
348.96845	-1.1668958e-02
348.98018	6.4852240e-02
348.99191	-3.0392295e-03
349.00364	1.4123033e-02
349.01537	1.0549103e-02
349.02710	-6.1556811e-03
349.03883	-5.0080823e-03
349.05056	5.2730873e-02
349.06229	5.1064207e-02
349.07403	3.3798136e-02
349.08576	3.6426009e-02
349.09749	2.6053185e-02
349.10922	1.1952992e-01
349.12095	6.2936576e-02
349.13268	1.3460272e-01
349.14441	1.5308233e-01
349.15614	2.3817789e-01
349.16787	3.1376076e-01
349.17960	4.3104847e-01
349.19133	5.3493395e-01
349.20306	7.0869082e-01
349.21479	7.9258102e-01
349.22652	9.2842104e-01
349.23825	9.8109792e-01
349.24998	9.4959783e-01
349.26171	7.5347899e-01
349.27344	3.7349460e-01
349.28517	-1.4732018e-01
349.29690	-5.7603961e-01
