# Synthetic 14N nitroxide (garlic)
# Microwave Frequency: 9.85 GHz
# Field unit: mT
Field_mT	Intensity
344.82769	6.9179799e-03
344.83942	1.6438703e-02
344.85115	6.6151262e-03
344.86288	-2.6056715e-02
344.87461	1.8113592e-02
344.88634	8.9340122e-03
344.89807	-1.0732498e-02
344.90980	1.1628976e-02
344.92153	7.2981089e-03
344.93326	5.8893585e-03
344.94499	5.7520152e-04
344.95672	1.0941065e-02
344.96845	-1.4722227e-02
344.98018	-3.2512950e-03
344.99191	-9.6354323e-03
345.00364	1.1983929e-02
345.01537	8.0149773e-04
345.02710	-5.8420279e-03
345.03883	-1.5631010e-02
345.05056	-5.1366329e-03
345.06229	1.7010865e-04
345.07403	-5.5047394e-03
345.08576	2.5888649e-02
345.09749	2.0141914e-02
345.10922	-5.4215766e-02
345.12095	-3.7772726e-02
345.13268	-3.4878462e-03
345.14441	-8.4361555e-03
345.15614	4.2805703e-03
345.16787	4.3542073e-03
345.17960	4.2364603e-02
345.19133	-2.2232528e-02
345.20306	-7.5441529e-03
345.21479	4.0863440e-02
345.22652	1.2942129e-02
345.23825	1.3269399e-02
345.24998	-1.0271933e-02
345.26171	-3.2953246e-02
345.27344	3.3576166e-03
345.28517	2.1886683e-03
345.29690	-2.4538589e-02
345.30863	-1.3656015e-02
345.32036	-1.4322886e-03
345.33209	-1.8886380e-02
345.34382	-1.9566784e-03
345.35555	1.9184506e-03
345.36728	7.2058469e-04
345.37901	-1.0116903e-02
345.39074	1.1883963e-02
345.40247	1.7832413e-02
345.41420	6.4261133e-03
345.42593	-1.6355384e-02
345.43766	1.4642341e-02
345.44939	-1.0019429e-02
345.46112	1.7592660e-02
345.47285	-2.1426224e-02
345.48458	1.8298947e-02
345.49631	-3.9158749e-04
345.50804	-2.4965216e-02
345.51977	-6.2681472e-03
345.53150	1.0919695e-03
345.54323	5.4658333e-03
345.55496	-1.9633672e-02
345.56669	-2.2137286e-02
345.57842	4.0019508e-03
345.59015	-9.3246457e-03
345.60188	4.7205464e-03
345.61361	1.5200913e-02
345.62534	-3.2965135e-02
345.63707	5.0984653e-03
345.64881	2.4503734e-02
345.66054	-5.9396493e-03
345.67227	-1.6205310e-02
345.68400	1.5055953e-02
345.69573	5.0801031e-03
345.70746	1.7928932e-02
345.71919	-6.8929456e-03
345.73092	-2.9624897e-02
345.74265	-2.1886460e-03
345.75438	-8.9048916e-03
345.76611	1.5518251e-02
345.77784	3.8845366e-03
345.78957	-3.2604999e-02
345.80130	-2.3891169e-02
345.81303	1.7687982e-02
345.82476	1.3607612e-02
345.83649	-1.2792444e-02
345.84822	-8.4401952e-06
345.85995	8.9241210e-03
345.87168	9.3808523e-03
345.88341	1.7537727e-02
345.89514	5.1427139e-03
345.90687	-1.8834453e-03
345.91860	-5.1637182e-03
345.93033	2.1128222e-02
345.94206	-4.5003594e-02
345.95379	-2.7594889e-03
345.96552	6.7374783e-04
345.97725	-2.8493104e-02
345.98898	6.6702793e-03
346.00071	-1.3011480e-02
346.01244	1.7263171e-02
346.02417	-2.4974297e-03
346.03590	1.3397615e-02
346.04763	2.4391563e-02
346.05936	7.6734250e-03
346.07109	-1.7499445e-02
346.08282	-3.0271249e-02
346.09455	3.5082954e-02
346.10628	-2.2104216e-03
346.11801	-1.3755724e-02
346.12974	2.9008707e-03
346.14147	-3.8123412e-03
