# Synthetic organic radical, 2x1H (garlic)
# Microwave Frequency: 9.85 GHz
# Field unit: mT
Field_mT	Intensity
347.09022	4.7296576e-03
347.09804	-1.3065368e-02
347.10586	-1.0323225e-02
347.11368	-6.1033301e-02
347.12150	4.4996089e-02
347.12932	2.8607572e-02
347.13714	-8.1321250e-03
347.14496	1.9348632e-02
347.15278	7.0337550e-03
347.16060	-1.3842061e-02
347.16842	2.4442718e-02
347.17624	-7.7603606e-03
347.18406	-8.2170226e-03
347.19188	-1.9800072e-02
347.19970	1.1377571e-02
347.20752	-2.4763093e-03
347.21534	1.3635883e-02
347.22316	-1.5175955e-02
347.23098	3.1744068e-03
347.23880	-2.2303117e-02
347.24662	2.1040382e-02
347.25444	4.7046583e-03
347.26226	8.2680802e-03
347.27008	1.0266427e-02
347.27790	-2.5265084e-02
347.28572	1.9583403e-02
347.29354	5.1421473e-02
347.30136	-4.0957135e-02
347.30918	-4.3231334e-02
347.31700	-3.7616807e-02
347.32482	2.1040476e-02
347.33265	3.2219206e-03
347.34047	2.6962616e-02
347.34829	1.8064853e-02
347.35611	5.2684032e-03
347.36393	7.1050882e-03
347.37175	-4.2398510e-03
347.37957	2.1715694e-02
347.38739	-2.8238683e-02
347.39521	-1.0542227e-02
347.40303	6.0777429e-03
347.41085	4.5039821e-02
347.41867	-1.9107275e-02
347.42649	-2.6972155e-02
347.43431	-1.4077794e-02
347.44213	2.4236220e-02
347.44995	-5.8706936e-03
347.45777	3.3113149e-02
347.46559	-4.6808734e-02
347.47341	2.8217612e-02
347.48123	2.5876220e-02
347.48905	-3.5462047e-02
347.49687	3.8441733e-03
347.50469	3.0398598e-02
347.51251	2.2026651e-03
347.52033	2.4997256e-02
347.52815	5.9376926e-02
347.53597	6.8530919e-03
347.54379	-7.0047395e-03
347.55161	-1.9271453e-02
347.55943	1.6206500e-02
347.56725	-4.9133332e-03
347.57507	-4.4637068e-03
347.58289	-2.6265077e-03
347.59071	1.6251763e-02
347.59853	-2.6653434e-02
347.60635	-3.8241821e-02
347.61417	-6.0841790e-02
347.62199	2.9971936e-02
347.62981	1.8500335e-03
347.63763	3.7758222e-02
347.64545	-2.1863426e-04
347.65327	-1.8548576e-02
347.66109	1.1953581e-02
347.66891	-1.9093240e-03
347.67673	-3.1349242e-02
347.68455	-2.2121201e-02
347.69237	4.4174986e-02
347.70019	8.8643071e-03
347.70801	1.0415246e-02
347.71583	-6.9081705e-03
347.72365	-1.7237326e-02
347.73147	2.2297100e-02
347.73929	-2.6099155e-03
347.74711	-1.8971915e-02
347.75493	-3.3473830e-03
347.76275	-2.2634278e-02
347.77057	4.7570619e-03
347.77839	2.8236650e-02
347.78621	-2.0896126e-02
347.79403	3.5719648e-02
347.80185	-1.6684406e-02
347.80967	3.8414424e-03
347.81749	-2.0903479e-02
347.82531	-5.5496488e-03
347.83313	1.1913875e-03
347.84095	-1.0860799e-02
347.84877	-1.7565825e-02
347.85659	-1.6940735e-02
347.86441	-2.0522530e-02
347.87223	-3.9245482e-02
347.88005	-6.5676725e-03
347.88787	1.0035573e-02
347.89569	2.2716717e-02
347.90352	1.6184288e-02
347.91134	6.1440185e-02
347.91916	7.9738648e-03
347.92698	-1.1401471e-02
347.93480	4.6797796e-02
347.94262	-2.6173468e-02
347.95044	2.4218979e-02
347.95826	-2.3871525e-02
347.96608	8.8599409e-03
347.97390	-4.9202713e-02
347.98172	2.2489105e-02
347.98954	-3.9488703e-03
347.99736	-2.4184659e-02
348.00518	4.1967913e-02
348.01300	1.9141363e-02
348.02082	1.1527522e-03
348.02864	-1.8628468e-02
348.03646	-1.0763866e-03
348.04428	-4.0904789e-03
348.05210	1.8127215e-02
348.05992	1.9959746e-02
348.06774	-1.6685979e-02
348.07556	-1.3726269e-02
348.08338	-1.3293573e-02
348.09120	-3.3724805e-02
348.09902	-1.4781179e-02
348.10684	-2.3019407e-03
348.11466	1.7282128e-02
348.12248	3.3017886e-02
348.13030	-2.0200179e-02
348.13812	1.3782952e-02
348.14594	-1.1102810e-02
348.15376	5.1888377e-02
348.16158	-1.2093325e-03
348.16940	1.2562004e-02
348.17722	-2.3395149e-02
348.18504	-2.0258256e-02
348.19286	5.0514397e-03
348.20068	-9.5922266e-03
348.20850	8.8414278e-03
348.21632	-3.9036311e-02
348.22414	1.6559497e-02
348.23196	-2.2477555e-02
348.23978	4.3070120e-02
348.24760	-7.2020625e-03
348.25542	2.7441329e-02
348.26324	-3.4864795e-02
348.27106	1.0733530e-02
348.27888	-2.2190781e-02
348.28670	-1.2162178e-02
348.29452	6.2504733e-04
348.30234	-7.9166462e-03
348.31016	6.6167099e-03
348.31798	1.8701797e-02
348.32580	1.6330059e-02
348.33362	-2.1764373e-03
348.34144	-3.4075067e-02
348.34926	-2.0105360e-02
348.35708	-4.8830146e-03
348.36490	-5.3034659e-02
348.37272	1.8813105e-02
348.38054	-5.9797624e-03
348.38836	-6.2716869e-03
348.39618	2.3720805e-02
348.40400	1.6709268e-02
