# Synthetic 2-component (sharp nitroxide + broad radical)
# Microwave Frequency: 9.85 GHz
# Field unit: mT
Field_mT	Intensity
342.82769	-1.2766432e-02
342.84333	-3.2234641e-03
342.85897	3.3546863e-02
342.87461	1.3456851e-02
342.89025	-3.2552525e-02
342.90589	1.7289052e-04
342.92153	-1.2190772e-02
342.93717	3.2526913e-03
342.95281	-3.1882125e-02
342.96845	5.1186499e-03
342.98409	4.9924242e-03
342.99973	3.1798932e-02
343.01537	6.6209291e-03
343.03101	1.0500592e-02
343.04665	-2.9571033e-02
343.06229	4.5347537e-02
343.07794	-3.8018290e-02
343.09358	2.2332338e-02
343.10922	-6.3000881e-03
343.12486	-1.7313232e-02
343.14050	-1.2824283e-02
343.15614	-1.3137146e-02
343.17178	7.9086745e-03
343.18742	-1.8945234e-03
343.20306	2.9959845e-02
343.21870	-3.6281873e-02
343.23434	2.5038664e-04
343.24998	-1.7527297e-02
343.26562	1.5833082e-02
343.28126	-4.2043714e-02
343.29690	-6.5545453e-03
343.31254	4.5246700e-03
343.32818	-2.9362276e-02
343.34382	2.0029306e-02
343.35946	3.9011773e-03
343.37510	2.0465973e-02
343.39074	1.9514479e-02
343.40638	-1.9264350e-02
343.42202	-1.5621199e-02
343.43766	-3.7299430e-03
343.45330	1.5297908e-02
343.46894	1.7360081e-02
343.48458	-1.3850924e-02
343.50022	-1.1799116e-02
343.51586	-1.5609559e-02
343.53150	-1.1335778e-02
343.54714	-4.4073765e-03
343.56278	-2.2830887e-03
343.57842	4.1517640e-02
343.59406	-9.7705671e-03
343.60970	-5.4148082e-03
343.62534	9.5334243e-03
343.64098	-1.8697403e-02
343.65663	-7.0062386e-03
343.67227	6.3491845e-04
343.68791	1.5853731e-02
343.70355	-2.5947204e-02
343.71919	2.7804782e-02
343.73483	-6.6714355e-03
343.75047	3.7683782e-03
343.76611	1.7324173e-02
343.78175	1.3600642e-02
343.79739	2.1571818e-02
343.81303	3.8535530e-03
343.82867	-2.3399116e-07
343.84431	6.7240606e-03
343.85995	-1.9517341e-02
343.87559	2.4683212e-02
343.89123	-1.5105741e-02
343.90687	-2.4800354e-02
343.92251	4.1535261e-02
343.93815	-2.3192302e-03
343.95379	-2.3170224e-02
343.96943	3.7460295e-02
343.98507	-6.1767026e-03
344.00071	2.1661737e-02
344.01635	-1.6166858e-02
344.03199	-4.5499664e-03
344.04763	-3.3342212e-02
344.06327	-3.7747648e-02
344.07891	-1.9094764e-02
344.09455	-1.1240405e-03
344.11019	1.6399291e-02
344.12583	4.8966847e-02
344.14147	-2.0191937e-02
344.15711	2.0629040e-02
344.17275	-1.1635649e-02
344.18839	-2.5964536e-03
344.20403	-2.9166712e-02
344.21968	-2.9119580e-02
344.23532	-1.5106037e-02
344.25096	-2.3395970e-02
344.26660	3.9824883e-04
344.28224	-1.3577831e-02
344.29788	2.5489549e-02
344.31352	3.5391793e-03
344.32916	3.7867545e-03
344.34480	2.3233929e-02
344.36044	1.0850733e-02
344.37608	-2.5487914e-04
344.39172	-1.3193648e-03
344.40736	-1.9205185e-03
344.42300	2.2036275e-02
344.43864	1.6166961e-02
344.45428	7.8270517e-03
344.46992	1.6488754e-02
344.48556	-1.0374992e-02
344.50120	1.0739668e-02
344.51684	-2.7723890e-02
344.53248	2.7471798e-02
344.54812	2.3309883e-03
344.56376	4.2015532e-03
344.57940	1.2525074e-02
344.59504	3.4694373e-04
344.61068	-4.5372497e-03
344.62632	2.4344408e-02
344.64196	2.8675725e-03
344.65760	-1.7760995e-02
344.67324	9.3515320e-03
344.68888	-3.3538103e-02
344.70452	3.3679144e-02
344.72016	-2.8503004e-03
344.73580	1.4940637e-03
344.75144	4.5735899e-02
344.76708	4.3619454e-02
344.78272	2.9049472e-03
344.79837	1.3090362e-02
344.81401	2.2400894e-02
344.82965	3.4242019e-02
344.84529	-2.0159150e-03
344.86093	3.3155328e-03
344.87657	2.5107441e-02
344.89221	6.0102330e-03
344.90785	1.5713738e-02
344.92349	1.2825489e-02
344.93913	-2.2065338e-02
344.95477	-1.6541272e-02
344.97041	-5.2184537e-02
344.98605	-4.5554355e-03
345.00169	2.7428512e-02
345.01733	-2.1527539e-02
345.03297	2.5337547e-02
345.04861	2.0657327e-02
345.06425	-4.2546287e-04
345.07989	5.2417456e-04
345.09553	2.3381469e-03
345.11117	-1.6535127e-02
345.12681	-4.9548177e-03
345.14245	-2.3426493e-04
345.15809	1.2941064e-02
345.17373	1.6543898e-02
345.18937	-1.4141729e-02
345.20501	1.7232741e-02
345.22065	-1.4833432e-02
345.23629	-2.6487948e-03
345.25193	8.1252568e-03
345.26757	2.8775312e-04
345.28321	-1.7926659e-03
345.29885	6.1411645e-03
345.31449	-1.0297793e-02
345.33013	-1.2289226e-02
345.34577	-3.3122153e-03
345.36142	2.0001524e-02
345.37706	-1.2511670e-03
345.39270	3.8878780e-02
345.40834	5.0796427e-03
345.42398	-5.8687106e-02
345.43962	-7.9838523e-03
345.45526	3.4114326e-02
345.47090	9.4705136e-04
345.48654	-7.9299794e-03
345.50218	-1.6639871e-02
345.51782	2.7315980e-02
345.53346	2.0903286e-02
345.54910	1.4294337e-02
345.56474	9.4225970e-03
345.58038	2.9685676e-02
345.59602	1.7298654e-02
345.61166	-2.3714243e-02
345.62730	1.6257858e-02
345.64294	4.2888160e-03
345.65858	-1.3027251e-03
345.67422	1.6178896e-02
345.68986	1.4864079e-03
345.70550	-5.7744792e-02
345.72114	3.2081780e-02
345.73678	2.1696215e-02
345.75242	-1.5020852e-03
345.76806	-6.4902613e-03
345.78370	5.4987009e-03
345.79934	-2.4713993e-02
345.81498	7.1102402e-03
345.83062	-3.6134783e-03
345.84626	-6.0601238e-03
345.86190	-1.7454952e-02
345.87754	-1.2556683e-02
345.89318	2.3150691e-02
345.90882	2.7734003e-02
345.92446	1.1099265e-02
345.94011	1.4079570e-04
345.95575	-1.6497412e-02
345.97139	1.5424963e-02
345.98703	3.3297954e-02
346.00267	-3.1201400e-02
346.01831	2.4583424e-02
346.03395	-4.2205484e-02
346.04959	-5.6824878e-03
346.06523	8.8200853e-03
346.08087	-2.6162133e-02
346.09651	-2.9192071e-02
346.11215	4.8714738e-03
346.12779	1.8702676e-02
346.14343	-8.3301855e-03
346.15907	2.8067342e-02
346.17471	-1.4398186e-02
346.19035	3.6298166e-02
346.20599	3.6302526e-03
346.22163	5.9393663e-03
346.23727	1.3543297e-02
346.25291	7.6765408e-03
346.26855	3.8183170e-02
346.28419	4.5408926e-02
346.29983	1.2213467e-02
346.31547	-2.0109935e-03
346.33111	-2.2206772e-02
346.34675	-1.3759963e-02
346.36239	1.5249388e-03
346.37803	-6.7420378e-04
346.39367	4.9185743e-04
346.40931	1.4792146e-03
346.42495	1.1302119e-02
346.44059	-2.5609176e-02
346.45623	-1.9091532e-02
346.47187	2.3869980e-02
346.48751	1.8211169e-02
346.50316	-9.2563802e-03
346.51880	2.7380040e-02
346.53444	-1.2040173e-02
346.55008	-3.5337129e-03
346.56572	-3.4992628e-02
346.58136	1.8474093e-02
346.59700	1.3716741e-03
346.61264	2.2957604e-02
346.62828	1.5762680e-02
346.64392	3.5824565e-03
346.65956	4.9290296e-03
346.67520	2.5666349e-02
346.69084	-1.4550057e-03
346.70648	-1.1878444e-03
346.72212	3.2781988e-03
346.73776	1.8066116e-02
346.75340	2.0472252e-02
346.76904	4.0415906e-02
346.78468	5.6476055e-04
346.80032	2.7530786e-02
346.81596	-1.0737049e-02
346.83160	1.4498320e-02
346.84724	5.0099373e-03
346.86288	3.7273852e-02
346.87852	1.4821385e-02
346.89416	-6.2748744e-03
346.90980	1.4303486e-02
346.92544	9.7105887e-03
346.94108	-3.5111253e-03
346.95672	-3.0267209e-03
346.97236	-1.5978597e-02
346.98800	5.8082954e-02
347.00364	5.6757456e-03
347.01928	2.2492493e-02
347.03492	-2.0278362e-02
347.05056	-1.8653515e-02
347.06620	2.8963845e-05
347.08185	1.4400779e-04
347.09749	1.9196821e-02
347.11313	-1.6898104e-02
347.12877	1.4002165e-02
347.14441	3.3535870e-02
347.16005	-1.5023393e-02
